RankId,Rank,Song_x,Artist_x,Year,Song_y,Artist_y,Lyrics,Source,LyricsStatus,GeniusLyrics
3501,1,Breathe,Faith Hill,2000,breathe,faith hill, i can feel the magic floating in the air being with you gets me that way i watch the sunlight dance across your face and ive never been this swept awayall my thoughts just seem to settle on the breeze when im lying wrapped up in your arms the whole world just fades away the only thing i hear is the beating of your heartcause i can feel you breathe its washing over me and suddenly im melting into you theres nothing left to prove baby all we need is just to be caught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathein a way i know my heart is waking up as all the walls come tumbling down closer than ive ever felt before and i know and you know theres no need for words right nowi can feel you breathe washing over me and suddenly im melting into you theres nothing left to prove baby all we need is just to be caught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathecaught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathei can feel the magic floating in the air being with you gets me that way ,1.0,1,"I can feel the magic floating in the air
Being with you gets me that way
I watch the sunlight dance across your face and I've
Never been this swept away

All my thoughts just seem to settle on the breeze
When I'm lying wrapped up in your arms
The whole world just fades away
The only thing I hear
Is the beating of your heart

'Cause I can feel you breathe, it's washing over me
And suddenly, I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch, slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

In a way, I know my heart is waking up
As all the walls come tumbling down
I'm closer than I've ever felt before
And I know, and you know
There's no need for words right now

'Cause I can feel you breathe, it's washing over me
And suddenly, I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch, slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe


Caught up in the touch
The slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

I can feel the magic floating in the air
Being with you gets me that way"
3502,2,Smooth,Santana featuring Rob Thomas,2000,smooth,santana featuring rob thomas, man its a hot one like seven inches from the midday sun well i hear you whispering in the words to melt everyone but you stay so cool my muÌ±equita my spanish harlem mona lisa youre my reason for reason the step in my grooveand if you said this life aint good enough i would give my world to lift you up i could change my life to better suit your mood because youre so smoothand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itbut ill tell you one thing if you would leave it would be a crying shame in every breath and every word i hear your name calling me out out from the barrio you hear my rhythm on your radio you feel the turning of the world so soft and slow its turning you round and roundand if you said this life aint good enough i would give my world to lift you up i could change my life to better suit your mood because youre so smoothand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itor else forget about it or else forget about it lets not forget about it give me your heart make it real lets not forget about it lets not forget about it lets not forget about it lets not forget about it lets not forget about it ,1.0,1,"Man, it's a hot one
Like seven inches from the midday sun
I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my Spanish Harlem Mona Lisa
You're my reason for reason, the step in my groove

And if you say this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Because you're so smooth
And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of loving that can be so smooth
Gimme your heart, make it real, or else forget about it

I'll tell you one thing
If you would leave it would be a crying shame
In every breath and every word
I hear your name calling me out
Out from the barrio, you hear my rhythm from your radio
You feel the turning of the world so soft and slow
Turning you round and round

And if you say this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Because you're so smooth
And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of loving that can be so smooth
Gimme your heart, make it real, or else forget about it

And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of loving that can be so smooth
Gimme your heart, make it real, or else forget about it

Or else forget about it
Or else forget about it
Oh, let's don't forget about it
(Gimme your heart, make it real)
Let's don't forget about it (hey)
Let's don't forget about it (no oh no oh)
Let's don't forget about it (no no no oh)
Let's don't forget about it (hey no no oh)
Let's don't forget about it (hey hey hey)"
3503,3,Maria Maria,Santana featuring The Product G&B,2000,maria maria,santana featuring the product gb, ladies and gents turn up your sound systems to the sound of carlos santana in the gmb ghetto blues from the refugee campsoh maria maria she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria she fell in love in east la to the sounds of the guitar yeah yeah played by carlos santanastop the lootin stop the shootin pick pocking on the corner see as the rich is getting richer the poor is getting poorerse mira maria on the corner thinkin of ways to make it better in my mailbox theres an eviction letter somebody just said see you later yeahahora vengo mama chula mama chula ahora vengo mama chula east coast ahora vengo mama chula mama chula ahora vengo mama chulamaria maria west coast she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria she fell in love in east la i said it to the sounds of the guitar yeah yeah played by carlos santanai said a la favella los colores the streets are getting hotter there is no water to putout the fire mi canto la esperanzase mira maria on the corner thinkin of ways to make it better then i looked up in the sky hopin the days of paradiseahora vengo mama chula mama chula ahora vengo mama chula north side ahora vengo mama chula mama chula ahora vengo mama chula south sideahora vengo mama chula mama chula ahora vengo mama chula worldwide ahora vengo mama chula mama chula ahora vengo mama chula open up your eyesmaria you know youre my lover when the wind blows i can feel you through the weather and even when were apart it still feels like were togethermaria oh yeah she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria oh she fell in love in east la to the sounds of the guitar played by carlos santanaput em up yall carlos santana with the refugee camp wyclef jerry wonder mr santana gmb yo carlos man you makin that guitar cry ,1.0,1,"Ladies and gents, turn up your sound systems to the sound of Carlos Santana and the G&B, it's The Product of get-away blues from the refugee camp

Oh, Maria, Maria
She reminds me of a west side story
Growing up in Spanish Harlem
She's living the life just like a movie star
Oh, Maria, Maria
She fell in love in East L.A
To the sounds of the guitar, yeah, yeah
Played by Carlos Santana


Stop the looting, stop the shooting
Pick pocking on the corner
See as the rich is getting richer
The poor is getting poorer
Se mira Maria on the corner
Thinking of ways to make it better
In my mailbox, there's an eviction letter
Signed by the judge, said see you later

Ahora vengo mama chula, mama chula
Ahora vengo mama chula (East Coast)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (West Coast)

Oh, Maria, Maria
She reminds me of a west side story
Growing up in Spanish Harlem
She's living the life just like a movie star
Oh, Maria, Maria
She fell in love in East L.A
To the sounds of the guitar, yeah, yeah
Played by Carlos Santana


I said a la favella los colores
The streets are getting hotter
There is no water to put out the fire
Ni gota de esperanza
Se mira Maria on the corner
Thinking of ways to make it better
Then I looked up in the sky
Hoping of days of paradise

Ahora vengo mama chula, mama chula
Ahora vengo mama chula (North side)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (South side)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (Worldwide)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (Open up your eyes)

Maria, you know you're my lover
When the wind blows, I can feel you
Through the weather and even when we're apart
It feels like we're together

Maria, yeah
She reminds me of a west side story
Growing up in Spanish Harlem
She's living the life just like a movie star
Maria, Maria
Oh, she fell in love in East L.A
To the sounds of the guitar
Played by Carlos Santana


Put 'em up, y'all
Carlos Santana with the Refugee Camp
Wyclef
Jerry Wonda
Mr. Santana
G&B
Yo Carlos, man, you're making that guitar cry"
3504,4,I Wanna Know,Joe,2000,i wanna know,joe, yeah oh yeah alright oh oh ohits amazing how you knock me off my feet hm every time you come around me i get weak oh yeah nobody ever made me feel this way oh you kiss my lips and then you take my breath away so i want to knowi want to know what turns you on id like to know so i can be all that and more id like to know id like to know what makes you cry so i can be the one who always makes you smilegirl he never understood what you were worth hm no and he never took the time to make it work you deserve more loving girl baby im the kind of man who shows concern yes i do oh anyway that i can please you let me learn so i wanna knowi wanna know what turns you on i wanna know so i can be all that and more id like to id like to know what makes you cry so so i can be the one who always makes you smile make you smile babetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truei wish that i could take a journey through your mind alright and find emotions that you always try to hide babe oh i do believe that theres a love you want to share oh oh ill take good care of you lady have no fear oh so i wanna knowi wanna know what turns you on i wanna know so i can be all that and more and id like to id like to know what makes you cry so i can be the one who always makes you smileuh tell me tell me tell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truei wanna know what turns you on id like to know id like to know so i can be all that and more i wanna know id like to know what makes you cry so so i can be the one who always makes you smileid like to know i wanna know i wanna know what turns you on tell me girl ,1.0,1,"Yeah, oh yeah
Alright, oh, oh, oh

It's amazing how you knock me off my feet, mmm
Every time you come around me I get weak, oh yeah
Nobody ever made me feel this way, oh
You kiss my lips and then you take my breath away
So, I wanna know

I wanna know what turns you on (yeah, I'd like to know)
So I can be all that and more (I'd like to know, yeah)
I'd like to know what makes you cry (so)
So I can be the one who always makes you smile

Girl, he never understood what you were worth (hmm, no)
And he never took the time to make it work, no
(You deserve more lovin', girl)
Baby, I'm the kind of man who shows concern, yes I do, oh
Anyway that I can please you, let me learn
So, I wanna know

I wanna know what turns you on (I wanna know)
So I can be all that and more (I'd like to know)
I'd like to know what makes you cry (so)
So I can be the one who always makes you smile
(make you smile, baby)

Tell me what I gotta do to please you
Baby, anything you say I'll do
Cause I only wanna make you happy
From the bottom of my heart, it's true
Tell me what I gotta do to please you
Baby, anything you say I'll do
Cause I only wanna make you happy
From the bottom of my heart, it's true

I wish that I could take a journey through your mind, alright
And find emotions that you always try to hide babe, oh
I do believe that there's a love you wanna share, oh, oh
I'll take good care of you, lady, have no fear, oh
So I wanna know

I wanna know what turns you on (I wanna know)
So I can be all that and more (and I'd like to know)
I'd like to know what makes you cry (oh, yeah)
So I can be the one who always makes you smile
(ooh, tell me, tell me)

Tell me what I gotta do to please you
Baby, anything you say I'll do
Cause I only wanna make you happy
From the bottom of my heart, it's true
Tell me what I gotta do to please you
Baby, anything you say I'll do
Cause I only wanna make you happy
From the bottom of my heart, it's true

I wanna know what turns you on (I'd like to know, I'd like to know)
So I can be all that and more (I wanna know)
I'd like to know what makes you cry (So, yeah)
So I can be the one who always makes you smile
I wanna know what turns you on (Tell me, girl)
So I can be all that and more"
3505,5,Everything You Want,Vertical Horizon,2000,everything you want,vertical horizon, somewhere theres speaking its already coming in oh and its rising at the back of your mind you never could get it unless you were fed it now youre here and you dont know whybut under skinned knees and the skid marks past the places where you used to learn you howl and listen listen and wait for the echoes of angels who wont returnhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whyyoure waiting for someone to put you together youre waiting for someone to push you away theres always another wound to discover theres always something more you wish hed sayhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whybut youll just sit tight and watch it unwind its only what youre asking for and youll be just fine with all of your time its only what youre waiting forout of the island into the highway past the places where you might have turned you never did notice but you still hide away the anger of angels who wont returnhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whyi am everything you want i am everything you need i am everything inside of you that you wish you could be i say all the right things at exactly the right time but i mean nothing to you and i dont know why and i dont know why why why and i dont know ,1.0,1,"Somewhere there's speaking
It's already coming in
Oh and it's rising at the back of your mind
You never could get it
Unless you were fed it
Now you're here and you don't know why
But under skinned knees and the skid marks
Past the places where you used to learn
You howl and listen
Listen and wait for the
Echoes of angels who won't return

He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

You're waiting for someone
To put you together
You're waiting for someone to push you away
There's always another wound to discover
There's always something more you wish he'd say

He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

But you'll just sit tight
And watch it unwind
It's only what you're asking for
And you'll be just fine
With all of your time
It's only what you're waiting for

Out of the island
Into the highway
Past the places where you might have turned
You never did notice
But you still hide away
The anger of angels who won't return

He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

I am everything you want
I am everything you need
I am everything inside of you
That you wish you could be
I say all the right things
At exactly the right time
But I mean nothing to you and I don't know why
And I don't know why
Why
I don't know"
3506,6,Say My Name,Destiny's Child,2000,say my name,destinys child, say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changeany other day i would call and you would say baby hows your day but today it aint the same every other word is uhhuh yeah okay could it be that you are at the crib with another lady if you took it there first of all let me say i am not the one to sit around and be played so prove yourself to me i am the girl that you claim why dont you say the thangs that you said to me yesterdayi know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changewhat is up with this tell the truthwho you with how would you like it if i came over with my clique dont try to change it now see you gotta bounce when two seconds ago you said you just got in the house its hard to believe that you are at home by yourself when i just heard the voice heard the voice of someone else just this question why do you feel you gotta lie gettin caught up in your game when you can not say my namei know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changei know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me babybaby say my name say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby baby say my name ,1.0,1,"Darkchild '99

Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change?
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Better say my name

Any other day, I would call, you would say
""Baby, how's your day?""
But today, it ain't the same
Every other word is ""uh-huh"". “yeah ok""
Could it be that you are at the crib with another lady?
If you took it there, first of all, let me say
I am not the one to sit around, and be played
So prove yourself to me, if I'm the girl that you claim
Why don't you say the things that you said to me yesterday?

(I know you say that I am assuming things)
Something's going down that's the way it seems
(Shouldn't be the reason why you're acting strange)
If nobody's holding you back from me
(Cause I know how you usually do)
When you say everything to me times two
(Why can't you just tell the truth?)
If somebody's there then tell me who

Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change?
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Better say my name

What is up with this?
Tell the truth, who you with?
How would you like it if I came over with my clique?
Don't try to change it now, saying you gotta bounce
When two seconds ago you said you just got in the house
It's hard to believe that you are at home by yourself
When I just heard the voice, heard the voice of someone else
Just this question, why do you feel you gotta lie?
Gettin' caught up in your game, when you cannot say my name

(I know you say that I am assuming things)
Something's going down that's the way it seems
(Shouldn't be the reason why you're acting strange)
If nobody's holding you back from me
(Cause I know how you usually do)
When you say everything to me times two
(Why can't you just tell the truth?)
If somebody's there then tell me who

Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change?
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Better say my name

Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Ooh, ooh, oh

(I know you say that I am assuming things)
Something's going down that's the way it seems
(Shouldn't be the reason why you're acting strange)
If nobody's holding you back from me
(Cause I know how you usually do)
When you say everything to me times two
(Why can't you just tell the truth?)
If somebody's there then tell me who

Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change?
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Better say my name
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change?
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' games
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Better say my name

Thou shall know she can't love you"
3507,7,I Knew I Loved You,Savage Garden,2000,i knew i loved you,savage garden, hmm ohh i will come maybe its intuition somethings you just dont question like in your eyes i see my future in an instant and there it goes i think ive found my best friendi know that it might sound more than a little crazy but i believei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifetheres just no rhyme or reason only a sense of completion and in your eyes i see the missing pieces im searching for i think ive found my way homei know that it might sound more than a little crazy but i believei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifeooh hoo ooo hoo hoo ooo ohh a thousand angels dance around you ooh hoo hoo ooo hoo ooo hoo hoo hoo i am complete now that i have found youi knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifei knew i loved you before i met you i knew i loved you ooh hoo ooo hoo hoo ooo i knew i loved you before i met you i knew i loved you ooh hoo ooo hoo hoo hoo i knew i loved you before i met you oh oh ohh ohh oh oh oh ay ay yea oh i knew i loved you before i met you i knew i loved you i knew i loved you before i met you ,1.0,1,"Maybe it's intuition
But some things you just don't question
Like in your eyes, I see my future in an instant
And there it goes, I think I've found my best friend

I know that it might sound more than a little
Crazy, but I believe...

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

There's just no rhyme or reason
Only this sense of completion
And in your eyes, I see the missing pieces
I'm searching for, I think I found my way home

I know that it might sound more than a little
Crazy, but I believe...

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life
I am complete now that I found you

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

I knew I loved you before I met you
I think I dreamed you into my life
I knew I loved you before I met you
I have been waiting all my life"
3508,8,Amazed,Lonestar,2000,amazed,lonestar, lonestar lyricsamazedevery time our eyes meet this feeling inside me is almost more than i can take baby when you touch me i can feel how much you love me and it just blows me away ive never been this close to anyone or anything i can hear your thoughts i can see your dreamsi dont know how you do what you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do baby im amazed by youthe smell of your skin the taste of your kiss the way you whisper in the dark your hair all around me baby you surround me you touch every place in my heart oh it feels like the first time every time i wanna spend the whole night in your armsi dont know how you do what you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do baby im amazed by youevery little thing that you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do oh yeah every little thing that you do baby im amazed by you ,1.0,1,"Every time our eyes meet
This feeling inside me
Is almost more than I can take
Baby, when you touch me
I can feel how much you love me
And it just blows me away

I've never been this close to anyone, or anything
I can hear your thoughts
I can see your dreams

I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I want to spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do
Baby, I'm amazed by you

The smell of your skin
The taste of your kiss
The way you whisper in the dark
Your hair all around me
Baby you surround me
You touch every place in my heart

Oh, it feels like the first time every time
I want to spend the whole night in your eyes

I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I want to spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do
Baby, I'm amazed by you


Every little thing that you do
I'm so in love with you
It just keeps getting better
Oh, girl
I want to spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do
Oh, every little thing that you do
Every little thing that you do
Baby, I'm amazed by
By you"
3509,9,Bent,Matchbox Twenty,2000,bent,matchbox twenty, if i fall along the way pick me up and dust me off and if i get too tired to make it be my breath so i can walkif i need some other love give me more than i can stand and when my smile gets old and faded wait around ill smile againshouldnt be so complicated just hold me and then just hold me againcan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bentif i couldnt sleep could you sleep could you paint me better off could you sympathize with my needs i know you think i need a loti started out clean but im jaded just phoning it in just breaking the skincan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bentstart bending me its never enough i feel all your piecesstart bending me keep bending me until im completely broken inshouldnt be so complicated just touch me and then just touch me againcan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me landingwithout understanding can i go there again can you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bent ,1.0,1,"And if I fall along the way
Pick me up and dust me off
And if I get too tired to make it
Be my breath so I can walk
And if I need some other love, then
Give me more than I can stand
And when my smile gets old and faded
Wait around, I'll smile again

Shouldn't be so complicated
Just hold me and then
Oh, just hold me again

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together
Keep breaking me in
And this is how we will end
With you and me bent

And if I couldn't sleep, could you sleep?
Could you paint me better off?
And could you sympathize with my needs?
I know you think I need a lot

I started out clean but I'm jaded
Just phoning it in
Oh, just breaking the skin

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together
Keep breaking me in
And this is how we will end
With you and me bent

Start bending me
It's never enough till I feel all your pieces
Start bending me
Keep bending me until I'm completely broken in

Shouldn't be so complicated
Just touch me and then
Oh, just touch me again

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together
Keep breaking me in
And this is how we will end
With you and me landin' without understanding
Hell, I'd go there again
Can you help me I'm bent?
I'm so scared that I'll never
Get put back together
Yeah, you're breaking me in
And this is how we will end
With you and me bent"
3510,10,He Wasn't Man Enough,Toni Braxton,2000,he wasnt man enough,toni braxton, darkchild oh yeah toni braxton oh yeah uh uh darkchild yeah listen girlwho do you think i am dont you know that he was my man but i chose to let him go so why do you act like i still care about himlooking at me like im hurt when im the one who said i didnt want it to work dont you forget i had him firstwhatcha thinking stop blaming me he wasnt man enough for me if you dont know now heres your chance ive already had your mando you wonder just where hes been yeah and id be worried about him now its time you know the truth i think hes half the man for youwhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for me listen girldidnt he tell you the truth if not then why dont you ask him and maybe you could be more into him instead of worrying bout meand hopefully you wont find all of the reasons why his love led to doubt and why we couldnt work it outwhatcha thinking stop blaming me he wasnt man enough for me if you dont know now heres your chance see ive already had your mando you wonder just where hes been yeah and id be worried about him now its time you know the truth i think hes just the man for youwhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for meso many reasons why our love is through yeah what makes you think hell be good to you no it makes no sense cause he will never change girl you better recognize the gamewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for mewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for mewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for me ,1.0,1,"Darkchild
Oh, yeah, yeah
Toni Braxton, oh
Ha-ha, uh-huh
Yeah, uh, uh
Darkchild, yeah

Listen, girl
Who do you think I am?
Don't you know that he was my man?
But I chose to let him go
So why do you act like I still care about him?
Looking at me like I'm hurt
When I'm the one who said I didn't want it to work
Don't you forget I had him first

What you thinkin'?
Stop blaming me
He wasn't man enough for me
If you don't know now here's your chance
I've already had your man
Do you wonder just where he's been, yeah?
And not be worried about him
Now it's time you know the truth
I think he's just the man for you

What are you thinking?
Did you know about us back then?
Do you know I dumped your husband, girlfriend?
I'm not thinking 'bout him
But you married him
Do you know I made him leave?
Do you know he begged to stay with me?
He wasn't man enough for me

Listen, girl
Didn't he tell you the truth?
If not then why don't you ask him?
Then maybe you can be more into him
Instead of worryin' about me
And hopefully you won't find
All of the reasons why his love didn't count
And why we couldn't work it out

What you thinkin'?
Stop blaming me
He wasn't man enough for me
If you don't know now here's your chance
See, I've already had your man
Do you wonder just where he's been, yeah?
And not be worried about him, yeah
Now it's time you know the truth
I think he's just the man for you

What are you thinking?
Did you know about us back then?
Do you know I dumped your husband, girlfriend?
I'm not thinking 'bout him
But you married him
Do you know I made him leave?
Do you know he begged to stay with me?
He wasn't man enough for me
What are you thinking?
Did you know about us back then?
Do you know I dumped your husband, girlfriend?
I'm not thinking 'bout him
But you married him
Do you know I made him leave?
Do you know he begged to stay with me?
He wasn't man enough for me

Oh yeah
So many reasons why our love is through, yeah
What makes you think he'll be good to you, no
It makes no sense 'cause he will never change
Girl, you better recognize the game, oh yeah

What are you thinking?
Did you know about us back then
Do you know I dumped your husband, girlfriend
I'm not thinking 'bout him
But you married him
Do you know I made him leave?
Do you know he begged to stay with me?
He wasn't man enough for me
What are you thinking?
Did you know about us back then
Do you know I dumped your husband, girlfriend
I'm not thinking 'bout him
But you married him
Do you know I made him leave?
Do you know he begged to stay with me?
He wasn't man enough for me
What are you thinking?
Did you know about us back then
Do you know I dumped your husband, girlfriend
I'm not thinking 'bout him
But you married him
Do you know I made him leave?
Do you know he begged to stay with me?
He wasn't man enough for me"
