RankId,Rank,Song_x,Artist_x,Year,Song_y,Artist_y,Lyrics,Source,LyricsStatus,GeniusLyrics
1,1,Theme from A Summer Place,Percy Faith,1960,,,,,1,"There's a summer place
Where it may rain or storm
Yet I'm safe and warm
For within that summer place
Your arms reach out to me
And my heart is free from all care
For it knows
There are no gloomy skies
When seen through the eyes
Of those who are blessed with love
And the sweet secret of
A summer place
Is that it's anywhere
When two people share
All their hopes
All their dreams
All their love
And the sweet secret of a summer place
Is that it's anywhere
When two people share
All their hopes
All their dreams, all their love"
2,2,He'll Have to Go,Jim Reeves,1960,,,,,1,"Put your sweet lips a little closer to the phone
Let's pretend that we're together, all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go
Whisper to me, tell me do you love me true
Or is he holding you the way I do?
Tho' love is blind, make up your mind, I've got to know
Should I hang up, or will you tell him he'll have to go?
You can't say the words I want to hear
While you're with another man
Do you want me, answer yes or no
Darling, I will understand
Put your sweet lips a little closer to the phone
Let's pretend that we're together, all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go"
3,3,Cathy's Clown,The Everly Brothers,1960,,,,,1,"Don't want your love any more
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown
I've got to stand tall, you know a man can't crawl
For when he knows you're telling lies
And he hears them passing by
He's not a man at all

When you see me shed a tear
And you know that it's sincere
Don't you think it's kind of sad, that you're treating me so bad?
Or don't you even care?

Don't want your love any more
Don't want your kisses , that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown
That's Cathy's clown, that's Cathy's clown"
4,4,Running Bear,Johnny Preston,1960,,,,,1,"On the bank of the river
Stood Running Bear, young Indian brave
On the other side of the river
Stood his lovely Indian maid
Little White Dove was her name
Such a lovely sight to see
But their tribes fought with each other
So their love could never be
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die
He couldn't swim the raging river
'Cause the river was too wide
He couldn't reach Little White Dove
Waiting on the other side
In the moonlight, he could see her
Throwing kisses 'cross the waves
Her little heart was beating faster
Waiting there for her Indian brave
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die
Running Bear dove in the water
Little White Dove did the same
And they swam out to each other
Through the swirling stream they came
As their hands touched and their lips met
The raging river pulled them down
Now they'll always be together
In their happy hunting ground
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die"
5,5,Teen Angel,Mark Dinning,1960,,,,,1,"Teen Angel
Teen Angel
Teen Angel
VERSE 1
That fateful night the car was stalled
Upon the railroad track
I pulled you out and we were safe
But you went running back
CHORUS
Teen angel
Can you hear me?
Teen angel
Can you see me?
Are you somewhere up above?
And am I still your own true love?
VERSE 2
What was it you were looking for
That took your life that night
They said they found my high school ring
Clutched in your fingers tight
CHORUS
VERSE 3
Just sweet sixteen, and now you're gone
They've taken you away
I'll never kiss your lips again
They buried you today
CHORUS
Teen angel
Teen angel
Answer me please"
6,6,I'm Sorry,Brenda Lee,1960,,,,,1,"I'm sorry, so sorry
That I was such a fool
I didn't know
Love could be so cruel
Oh-oh-oh-oh-oh-oh-oh-yes
You tell me mistakes
Are part of being young
But that don't right
The wrong that's been done
(I'm sorry) I'm sorry
(So sorry) So sorry
Please accept my apology
But love is blind
And I was too blind to see
Oh-oh-oh-oh-oh-oh-oh-yes
You tell me mistakes
Are part of being young
But that don't right
The wrong that's been done
Oh-oh-oh-oh-oh-oh-oh-yes
I'm sorry, so sorry
Please accept my apology
But love was blind
And I was too blind to see
(Sorry)"
7,7,It's Now or Never,Elvis Presley,1960,,,,,1,"It's now or never
Come hold me tight
Kiss me my darling
Be mine tonight
Tomorrow will be too late
It's now or never
My love won't wait

When I first saw you
With your smile so tender
My heart was captured
My soul surrendered
I'd spend a lifetime
Waiting for the right time
Now that you're near
The time is here at last

It's now or never
Come hold me tight
Kiss me my darling
Be mine tonight
Tomorrow will be too late
It's now or never
My love won't wait

Just like a willow
We would cry an ocean
If we lost true love
And sweet devotion
Your lips excite me
Let your arms invite me
For who knows when
We'll meet again this way

It's now or never
Come hold me tight
Kiss me my darling
Be mine tonight
Tomorrow will be too late
It's now or never
My love won't wait
It's now or never
My love won't wait
It's now or never
My love won't wait
It's now or never
My love won't wait"
8,8,Handy Man,Jimmy Jones,1960,,,,,1,"Comma, comma, comma, comma, come, come, comma
Yeah, yeah, yeah
Hey girls, gather 'round
Listen to what I'm putting down
Hey baby, I'm your handy man
I'm not the kind to use a pencil or rule
I'm handy with love and I'm no fool
I fix broken hearts, I know that I really can
If your broken hearts need repair
Then I am the man to see
I whisper sweet things, you tell all your friends
They'll come running to me
Here is the main thing that I want to say
I'm busy 24 hours a day
I fix broken hearts, I know that I really can
If your broken hearts need repair
Then I am the man to see
I whisper sweet things, you tell all your friends
They'll come running to me
Here is the main thing that I want to say
I'm busy 24 hours a day
I fix broken hearts, I know that I really can
Comma, comma, comma, comma, come, come, comma
Yeah, yeah, yeah
Comma, comma, comma, comma, come, come
Yeah, yeah, yeah"
9,9,Stuck on You,Elvis Presley,1960,,,,,1,"You can shake an apple off an apple tree
Shake-a, shake- sugar
But you'll never shake me
Uh-uh-uh
No-sir-ee, uh, uh
I'm going to stick like glue
Stick because I'm
Stuck on you

Going to run my fingers thru your long black hair
Squeeze you tighter than a grizzly bear
Uh-uh-uh
Yes-sir-ee, uh, uh
I'm going to stick like glue
Stick, because I'm
Stuck on you

Hide in the kitchen, hide in the hall
Ain't going to do you no good at all
Because once I catch you and the kissing starts
A team of wild horses couldn't tear us apart

Try to take a tiger from his daddy's side
That's how love is going to keep us tied
Uh-uh-uh
Yes-sir-ee, uh, uh
I'm gonna stick like glue
Stick, because I'm
Stuck on you"
10,10,The Twist,Chubby Checker,1960,,,,,1,"Come on baby let's do the twist
Come on baby let's do the twist
Take me by my little hand and go like this
Ee-oh twist baby baby twist
Oooh-yeah just like this
Come on little miss and do the twist

My daddy is sleepin' and mama ain't around
Yeah daddy just sleepin' and mama ain't around
We're gonna twisty twisty twisty
'Til we tear the house down
Come on and twist yeah baby twist
Oooh-yeah just like this
Come on little miss and do the twist

Yeah you should see my little Sis
You should see my my little Sis
She really knows how to rock
She knows how to twist
Come on and twist yeah baby twist
Oooh-yeah just like this
Come on little miss and do the twist
Yeah rock on now
Yeah twist on now
Twist"
